#Item	Label	Description	Site on enwiki
Q1392	Battle of Nieuwpoort	battle between the Dutch and the Spanish in the city of Nieuwpoort, now in Belgium	Battle of Nieuwpoort
Q3956	Battle of Jarama	part of the Spanish Civil War	Battle of Jarama
Q4373	Battle of White Mountain	battle in the Thirty Years' War	Battle of White Mountain
Q4411	Battle of Valmy	victory by the army of France during the Revolutionary Wars that followed the French Revolution	Battle of Valmy
Q14689	Battle of the Ice	Part of Northern Crusades	Battle on the Ice (Lake Peipus)
Q16470	Normandy landings	landing operations of the Allied invasion of Normandy	Normandy landings
Q16471	Invasion of Normandy	invasion and establishment of Western Allied forces in Normandy during WWII	Invasion of Normandy
Q17594	Battle of Dresden	Part of the War of the Sixth Coalition	Battle of Dresden
Q26496	Battle of Surabaya	part of Indonesian National Revolution	Battle of Surabaya
Q27759	Battle of Crécy	battle of the Hundred Years' War	Battle of Crécy
Q27900	Siege of Constantinople (717-718)	combined land and sea offensive by the Arabs of the Umayyad Caliphate against the capital city of the Byzantine Empire, Constantinople	Siege of Constantinople (717–718)
Q32493	Battle of Rocoux	battle during the War of the Austrian Succession, result was French victory	Battle of Rocoux
Q32832	Battle of Varna		Battle of Varna
Q33132	Battle of Gettysburg	battle of the American Civil War, July 1–3, 1863	Battle of Gettysburg
Q33570	Battle of Grunwald	Battle of Teutonic Knights against Polish–Lithuanian union in 1410	Battle of Grunwald
Q38789	Battle of Stalingrad	major battle of World War II	Battle of Stalingrad
Q40144	Battle of Coronel	naval battle of 1 November 1914 off the coast of central Chile in World War I	Battle of Coronel
Q40559	Battle of Le Mans	Prussian victory during the Franco-Prussian War	Battle of Le Mans
Q41320	Battle of Denain		Battle of Denain
Q41894	Battle of New Orleans		Battle of New Orleans
Q44732	Battle of the Golden Spurs		Battle of the Golden Spurs
Q48163	Battle of Custoza		Battle of Custoza (1866)
Q48202	Battle of Custoza		Battle of Custoza (1848)
Q48253	Battle of Kulm		Battle of Kulm
Q48314	Battle of Waterloo	battle of the Napoleonic Wars in which Napoleon was defeated	Battle of Waterloo
Q48776	Battle of Palmito Ranch	American Civil War battle	Battle of Palmito Ranch
Q52226	Battle of Mogadishu	battle fought on 3 and 4 October 1993, in Mogadishu, Somalia	Battle of Mogadishu (1993)
Q55504	Battle of Azaz		Battle of Azaz (1125)
Q55635	Batalla del Monte de las Cruces	battle of the early Mexican War of Independence	Battle of Monte de las Cruces
Q58459	Battle between HMAS Sydney and German auxiliary cruiser Kormoran	naval battle during World War II	Battle between HMAS Sydney and German auxiliary cruiser Kormoran
Q58732	Siege of Malta	Ottoman Empire's invasion of Malta in 1565	Great Siege of Malta
Q63431	Invasion of Martinique	A military action that took place in January and February 1762. It was part of the Seven Years' War.	Invasion of Martinique (1762)
Q63468	Battle of Pavia	24 February 1525, was the decisive engagement of the Italian War of 1521–26	Battle of Pavia
Q63701	Battle of Saint-Omer		Battle of Saint-Omer
Q73194	Battle of Dogger Bank		Battle of Dogger Bank (1915)
Q74391	Battle of Nauheim		Battle of Nauheim
Q76914	Battle of Cepeda		Battle of Cepeda (1859)
Q83224	Battle of Hastings 1066	battle which occurred on 15 October 1066	Battle of Hastings
Q112016	Battle of the Persian Gate	victory of the invading Macedonian army, commanded by Alexander the Great, over the Persian army	Battle of the Persian Gate
Q127299	Battle of Kolín		Battle of Kolín
Q130847	Battle of Verdun	battle on the Western Front during the First World War	Battle of Verdun
Q130861	Battle of Kursk	World War II battle in the Soviet Union	Battle of Kursk
Q131386	Battle of Alesia		Battle of Alesia
Q132568	Battle of the Somme	Battle of the Western Front, World War I	Battle of the Somme
Q134114	Battle of Austerlitz	battle of the Napoleonic Wars	Battle of Austerlitz
Q135468	Battle of Haw's Shop		Battle of Haw's Shop
Q136344	Battle of Köse Dağ		Battle of Köse Dağ
Q145588	Battle of Gumbinnen		Battle of Gumbinnen
Q149560	Battle of Stallupönen		Battle of Stallupönen
Q151018	Battle of the Bulge	German offensive through the Ardennes forest on the Western Front towards the end of World War II	Battle of the Bulge
Q151290	Battle of Moscow	periods of strategically significant fighting on a 600 km (370 mi) sector of the Eastern Front during World War II	Battle of Moscow
Q152486	Battle of Poltava		Battle of Poltava
Q153858	Battle of Tannenberg		Battle of Tannenberg
Q154182	Battle of Berlin	final major offensive of the European theatre of World War II	Battle of Berlin
Q154426	Battle of Jena-Auerstedt		Battle of Jena–Auerstedt
Q154635	Battle of Blenheim		Battle of Blenheim
Q154720	Battle of Britain	air campaign waged by the German Air Force during WWII	Battle of Britain
Q154942	Battle of Königgrätz	decisive battle of the Austro-Prussian War	Battle of Königgrätz
Q155302	Battle of Loigny-Poupry		Battle of Loigny–Poupry
Q155726	Battle of Narva		Battle of Narva (1700)
Q156554	Battle of Jutland		Battle of Jutland
