Roman Empire	empire	30	1453	12.4830718	41.8933439	Augustus Aureus infobox version.png
Duchy of Burgundy	vassal state	880	1477	5.0414701	47.3215806	CoA dukes of Burgundy 1430-1482 (chivalric).svg
Liao dynasty	dynasty	907	1125	13.11667	3.63333	null
Jin dynasty (265–420)	dynasty	265	420	112.4209629	34.6556873	null
Sui dynasty	dynasty	581	618	111.893678	23.882069	null
Western Xia	Nationalities of China	1038	1227	13.11667	3.63333	null
Song dynasty	dynasty	960	1279	105	35	null
Post-Imperial Mongolia	dynasty	1368	1691	13.11667	3.63333	null
Tang dynasty	dynasty	618	907	111.893678	23.882069	null
Ming dynasty	dynasty	1368	1644	118.7916065	32.0609158	null
Lodi dynasty	dynasty	1451	1526	77.2272603	28.6572914	null
Magna Carta	charter	1215	1315	-0.5385324	53.2343087	null
Abbasid Caliphate	sovereign state	750	1258	-75.2494721	6.7632894	null
Aztec	civilization	1325	1425	-99.042175	19.411645	null
Holy Roman Empire	sovereign state	962	1806	16.3725042	48.2083537	Quaterionenadler David de Negker.svg
Mongol Empire	former country	1206	1368	109.149643	47.1835116	null
Suaire de Saint-Josse	shroud	960	1060	12.21619	51.820706	null
Triptych of the Sedano family	triptych	1490	1590	-82.43085	8.42729	null
Saint Francis Receiving the Stigmata (Giotto)	painting	1295	1395	-90.084252	29.9805237	null
Cortona Triptych	painting	1437	1537	12.674297	42.6384261	null
Dali Kingdom	former country	937	1253	100.217158538405	25.6903219	null
Hephthalite Empire	ethnic group	408	670	68.7214024	36.8726143	null
Kingdom of Singapura	null	1299	1399	103.85007	1.28967	null
Goryeo	former country	918	1392	126.5595967	37.973836	null
Balhae	former country	698	926	42.3551357	11.8488215	null
Inca Empire	organization	1438	1533	-71.9711244	-13.5212349	Banner of the Inca Empire.svg
Altar frontal from Cardet	painting	1250	1350	2.15342121730515	41.36840785	null
Virgin and Child with Saint Anne (Masaccio)	painting	1424	1524	-46.6819643	-23.6140806	null
Taifa of Zaragoza	Taifa	1013	1110	-117.00371	32.5027	null
Principality of Bayreuth	principality	1398	1791	11.4479149	50.1008448	Wappen Brandenburg Ansbach Kulmbach Bayreuth.jpg
Knights Templar	military order	1119	1312	-0.1117428	51.5153316	null
Principality of Ansbach	null	1398	1792	10.4642	49.23165	Wappen Brandenburg-Ansbach.svg
Kingdom of Bohemia	former country	1198	1918	14.4212556	50.0874401	Znak českého království.png
Western Roman Empire	Empire	285	476	9.1905368	45.466797	Julius Nepos Tremissis.jpg
Echternach Gospels	Gospel Book	690	790	2.3733707	48.8343173	null
Saffarid dynasty	dynasty	861	1003	61.8598282	30.9549949	null
Malacca Sultanate	sultanism	1400	1511	102.255926	2.1908178	null
Duchy of Bavaria	duchy	907	1623	12.0974869	49.0195333	Duchy of bavaria large.svg
Majapahit	former country	1293	1527	112.380351	-7.5546127	Surya Majapahit.png
Grand Duchy of Lithuania	grand duchy	1236	1795	25.2853984	54.6843135	Grand Ducal Coat of Arms of Lithuania.svg
Liu Song dynasty	dynasty	420	479	120.1727616	22.9859654	null
Kingdom of Jerusalem	Crusader state	1099	1291	35.2137689549576	31.79681325	Arms of the Kingdom of Jerusalem (Ströhl).svg
Chūzan	former country	1314	1429	129.30749	34.59807	null
Nanzan	former country	1314	1429	139.7417602	35.7008911	null
Fiesole Altarpiece	painting	1422	1522	16.51667	38.63333	null
Chen dynasty	dynasty	557	589	120.1727616	22.9859654	null
Southern Qi	dynasty	479	502	120.1727616	22.9859654	null
Early modern France	null	1492	1592	2	46	null
Kingdom of France	sovereign state	987	1792	2.3521334	48.8565056	Grand Royal Coat of Arms of France & Navarre.svg
Duchy of Brittany	null	939	1547	-1.560235	47.2185155	COA fr BRE.svg
Kongō Gumi	null	578	678	128.336	36.1136	null
Lord Mayor of London	null	1189	1289	-0.1278327	51.5072648	null
Almoravid dynasty	dynasty	1040	1147	9.96973	15.18212	null
Golden Horde	organization	1243	1502	79.2262529	19.9399801	null
Vladimir-Suzdal	former country	1157	1331	40.44668	56.42274	Seal-of-Alexander-Nevsky 1236 Avers.svg
Adil Shahi dynasty	dynasty	1490	1686	75.8827047064814	16.8130812	null
Macedonia (ancient kingdom)	realm	-808	-167	22.3172749	40.4871136	Vergina Sun - Golden Larnax.png
Seleucid Empire	former country	-312	-63	44.5211087	33.0944338	null
Kingdom of Essex	null	527	825	-0.1276474	51.5073219	null
Shang dynasty	organization	-1569	-1044	28.3188883	-31.1818856	null
Gayer-Anderson cat	sculpture	-664	-564	-0.127990295550173	51.5194185	null
Eurytios Krater	column krater	-600	-500	12.0988512	41.9983601	null
Zagwe dynasty	dynasty	900	1270	39.0462032	12.0355606	null
Kingdom of Valencia	null	1238	1707	-0.7654406	39.6819591	Former Coat of Arms of Valencia (Party with the Royal Arms of Aragon).svg
Margraviate of Brandenburg	null	1157	1806	-96.8245	46.15287	null
Adiabene	null	15	116	44.2534471	36.5349312	null
The Birth of Venus (Botticelli)	painting	1483	1583	-46.6819643	-23.6140806	null
Guelders	null	1096	1795	6.0845104771116	52.12760175	Gelre-4 wapen.svg
Lorenzo Monaco	human	1420	1520	11.64222	48.05139	null
State of the Teutonic Order	former country	1230	1525	19.0277269019237	54.039921	Insignia Germany Order Teutonic.svg
Electorate of Saxony	state	1356	1806	13.25	51	null
County of Flanders	countship	866	1795	3.20809951603418	51.2315785	Arms of Flanders.svg
Oaths of Strasbourg	alliance	842	942	7.74296	48.58342	null
Burgundian Netherlands	null	1384	1482	4.37543388666309	50.83853395	Arms of the Duke of Burgundy (1364-1404).svg
Duchy of Brabant	duchy	1183	1795	5	51.66667	Royal Arms of Belgium.svg
Fatimid Caliphate	caliphate	909	1171	11.056042	35.5038839	null
Crimean Khanate	former country	1441	1783	33.8534782	44.7522963	Gerae-tamga.svg
Chancellor of the Duchy of Lancaster	position	1361	1461	-94.23418	35.57704	null
Holstein-Rendsburg	noble family	1290	1459	9.6658499	54.3006938	null
Duchy of Saxony	duchy	804	1296	13.25	51	Coat of arms of Lower Saxony.svg
Kingdom of Sardinia	former country	1324	1861	9.1128513	39.2169525	null
Margraviate of Meissen	null	965	1423	13.50776	51.22502	Blason Nord-Pas-De-Calais.svg
County of Oldenburg	countship	1091	1774	8.21467	53.14118	null
