#Item	Label	Description	Site on enwiki
Q5680	Nineveh	ancient Assyrian city, capital of the Neo-Assyrian Empire	Nineveh
Q31357	Mars	Swedish warship that was built between 1563 and 1564	Swedish warship Mars
Q154728	Toul	commune in Meurthe-et-Moselle, France	Toul
Q243456	Cumae		Cumae
Q382317	Dodona		Dodona
Q429059	Dvin		Dvin (ancient city)
Q466614	Hatra		Hatra
Q486551	Verden an der Aller		Verden an der Aller
Q546010	Ani		Ani
Q661240	Fulda monastery		Fulda monastery
Q674543	Glanum		Glanum
Q676203	Machu Picchu	15th-century Inca site in Peru	Machu Picchu
Q720757	Abbey of Saint Peter in the Black Forest		Abbey of Saint Peter in the Black Forest
Q754314	Tusculum		Tusculum
Q826532	Tell Aswad		Tell Aswad
Q829708	Quedlinburg Abbey		Quedlinburg Abbey
Q844930	Classical Athens	city-state in ancient Greece	Classical Athens
Q868754	Conímbriga		Conímbriga
Q881177	Wettenhausen Abbey		Wettenhausen Abbey
Q937930	Pi-Ramesses		Pi-Ramesses
Q953432	Couto Misto		Couto Misto
Q978599	Ross-shire		Ross-shire
Q1023589	Sieradz Voivodeship		Sieradz Voivodeship (1339–1793)
Q1059551	Chaldia		Chaldia
Q1140824	Cromartyshire		Cromartyshire
Q1141669	Olynthus		Olynthus
Q1146562	Gazaria	Genoese colonies in Crimea and around the Black Sea from the mid-13th century to the late 15th century	Gazaria (Genoese colonies)
Q1296898	Szentgyörgymező		Szentgyörgymező
Q1440685	Belleville	former commune in the Seine département, east of Paris, France	Belleville (commune)
Q1629008	Zaraka Monastery		Zaraka Monastery
Q1687929	Principality of Jersika		Principality of Jersika
Q2121220	K'iche' Kingdom of Q'umarkaj		K'iche' Kingdom of Q'umarkaj
Q2280660	Marquisate of Finale		Marquisate of Finale
Q2314811	Chellah		Chellah
Q2454841	Smolensk Voivodeship		Smolensk Voivodeship
Q2671939	Harjumaa		Harjumaa (ancient county)
Q2706299	Vaise	a neighborhood of the City of Lyon (France)	Vaise
Q2941392	Castello Barbarossa		Castello Barbarossa
Q3517368	Tell Mashnaqa		Tell Mashnaqa
Q4950065	Bouqras		Bouqras
Q5068621	Chalco		Chalco (altépetl)
Q5228183	Kingdom of Vaspurakan		Kingdom of Vaspurakan
Q6087707	Israelite Tower		Israelite Tower
Q6898396	Monastery of the Virgins		Monastery of the Virgins
Q7697400	Tell Halula		Tell Halula
Q7697515	Tell Sukas		Tell Sukas
Q7951237	Shechem		Shechem
Q10985042	March of Montferrat		March of Montferrat
Q11405685	Płock Voivodeship		Płock Voivodeship (1495–1793)
Q12874467	Barony of Arcadia		Barony of Arcadia
Q15241956	Law school of Beirut		Law school of Beirut
Q15252981	Memleben Abbey		Memleben Abbey
