#Item	Label	Description	Site on enwiki
Q60	New York City	city in the state of New York in the United States of America	New York City
Q61	Washington, D.C.	capital city of the United States	Washington, D.C.
Q62	San Francisco	combined city and county in California, USA	San Francisco
Q64	Berlin	capital city and state of Germany	Berlin
Q65	Los Angeles	city in California, United States of America	Los Angeles
Q70	Bern	capital of Switzerland and municipality in the canton of Bern	Bern
Q84	London	capital city of England and the United Kingdom	London
Q85	Cairo	capital city of Egypt	Cairo
Q87	Alexandria	second largest city in Egypt	Alexandria
Q88	Alexandria	city in Virginia, USA	Alexandria, Virginia
Q99	California	state of the United States of America	California
Q100	Boston	city in Massachusetts, United States of America	Boston
Q173	Alabama	state of the United States of America	Alabama
Q174	São Paulo	city in São Paulo state, Brazil	São Paulo
Q176	Quebec	province of Canada	Quebec
Q271	Prytanée National Militaire	French military school	Prytanée National Militaire
Q311	Père Lachaise Cemetery	cemetery in the city of Paris, France	Père Lachaise Cemetery
Q340	Montreal	largest city in the province of Quebec, Canada	Montreal
Q511	Museum of Fine Arts of Lyon	art museum in Lyon, France	Museum of Fine Arts of Lyon
Q550	avenue des Champs-Élysées	avenue in Paris, France	Champs-Élysées
Q591	Fontgombault Abbey	Benedictine monastery at Fontgombault, Berry, France	Fontgombault Abbey
Q655	Chihuahua	state of Mexico	Chihuahua (state)
Q656	Saint Petersburg	federal city in Russia and the former capital	Saint Petersburg
Q694	South Holland	province of the Netherlands	South Holland
Q701	North Holland	province of the Netherlands	North Holland
Q705	Zeeland	province of the Netherlands	Zeeland
Q724	Maine	state of the United States of America	Maine
Q759	New Hampshire	state of the United States of America	New Hampshire
Q771	Massachusetts	state of the United States of America	Massachusetts
Q779	Connecticut	state of the United States of America	Connecticut
Q812	Florida	state of the United States of America	Florida
Q824	Oregon	state of the United States of America	Oregon
Q829	Utah	state of the United States of America	Utah
Q883	Novosibirsk	Russian city	Novosibirsk
Q887	Yekaterinburg	Russian city	Yekaterinburg
Q891	Nizhny Novgorod	Russian city	Nizhny Novgorod
Q894	Samara	Russian city	Samara, Russia
Q898	Omsk	city in Russia	Omsk
Q900	Kazan	Russian city	Kazan
Q906	Chelyabinsk	Russian city	Chelyabinsk
Q908	Rostov-on-Don	Russian city	Rostov-on-Don
Q911	Ufa	Russian city	Ufa
Q914	Volgograd	Russian city	Volgograd
Q915	Perm	city in Russia	Perm
Q919	Krasnoyarsk	Russian city	Krasnoyarsk
Q959	Vladivostok	Russian city and the administrative center of Primorsky Krai	Vladivostok
Q975	San Antonio	city in Texas, United States of America	San Antonio
Q976	Tomsk	Russian city and administrative center of Tomsk Oblast	Tomsk
Q994	Tbilisi	Georgian capital city	Tbilisi
Q1085	Prague	capital city of the Czech Republic	Prague
Q1126	Luxembourg Province	province in Wallonia, Belgium	Luxembourg (Belgium)
Q1156	Mumbai	capital and district of Maharashtra, India	Mumbai
Q1166	Michigan	state of the United States of America	Michigan
Q1183	Puerto Rico	unincorporated territory of the United States	Puerto Rico
Q1204	Illinois	state of the United States of America	Illinois
Q1207	North Dakota	state of the United States of America	North Dakota
Q1209	Bremen	the smallest state of Germany	Bremen (state)
Q1211	South Dakota	state of the United States of America	South Dakota
Q1212	Montana	state of the United States of America	Montana
