#Item	Label	Description	Site on enwiki
Q2277	Roman Empire	period of Ancient Rome after the Roman Republic	Roman Empire
Q4712	Duchy of Burgundy	historic principality	Duchy of Burgundy
Q4958	Liao dynasty	former empire in East Asia	Liao dynasty
Q5066	Jin dynasty	Chinese dynasty (1115–1234)	Jin dynasty (1115–1234)
Q7352	Jin dynasty	Chinese dynasty (265–420)	Jin dynasty (265–420)
Q7405	Sui dynasty	dynasty that ruled over China from 581  to 618	Sui dynasty
Q7427	Western Xia	former empire in East Asia	Western Xia
Q7462	Song dynasty	ruling family in China	Song dynasty
Q8959	Northern Yuan Dynasty	A former empire in East Asia	Post-Imperial Mongolia
Q9683	Tang dynasty	ruling dynasty in China	Tang dynasty
Q9903	Ming dynasty	former dynasty in China	Ming dynasty
Q11709	Lodi dynasty	dynasty in northern India from 1451 to 1526	Lodi dynasty
Q11774	Gupta Empire	ancient Indian empire	Gupta Empire
Q12519	Magna Carta	Angevin charter	Magna Carta
Q12536	Abbasid caliphate	third Islamic caliphate	Abbasid Caliphate
Q12542	Aztec	ethnic groups of central Mexico and their civilization	Aztec
Q12548	Holy Roman Empire	varying complex of lands that existed from 962 to 1806 in Central Europe	Holy Roman Empire
Q12557	Mongol Empire	former country in Asia and Europe	Mongol Empire
Q23323	Suaire de Saint-Josse	silk samite saddle cloth	Suaire de Saint-Josse
Q23356	Harbaville Triptych	Byzantine ivory triptych	Harbaville Triptych
Q23898	Triptych of the Sedano family	triptych by Gerard David	Triptych of the Sedano family
Q23904	Stigmata of St. Francis	painting by Giotto	Saint Francis Receiving the Stigmata (Giotto)
Q23915	An Old Man and his Grandson	painting by Domenico Ghirlandaio	An Old Man and his Grandson
Q23946	Visitation	painting by the Italian Renaissance painter Domenico Ghirlandaio	Visitation (Ghirlandaio)
Q24160	Braque Triptych	oil-on-oak altarpiece by Rogier van der Weyden	Braque Triptych
Q24531	Cortona Triptych	depiction of the Madonna and Child with saints	Cortona Triptych
Q26472	Kingdom of Dali	Bai kingdom	Dali Kingdom
Q26576	Hephthalite Empire	nomadic confederation in Central Asia during the late antiquity period	Hephthalite Empire
Q27842	Kingdom of Singapura	small Malay kingdom	Kingdom of Singapura
Q28208	Goryeo	Korean dynasty	Goryeo
