Q3763918			Minerva's Garden (Salerno)
Q4058485			Aibgha (village)
Q14954702	107 Piccadilly	Grade-II listed building on Lena Street in Manchester, England	107 Piccadilly
Q163948	10th arrondissement of Paris	one of the 20 administrative districts of Paris, France	10th arrondissement of Paris
Q169293	11th arrondissement of Paris	one of the 20 administrative districts of Paris, France	11th arrondissement of Paris
Q171689	12th arrondissement of Paris	one of the 20 administrative districts of Paris, France	12th arrondissement of Paris
Q175129	13th arrondissement of Paris	one of the 20 administrative districts of Paris, France	13th arrondissement of Paris
Q187153	14th arrondissement of Paris	one of the arrondissements of the capital city of France	14th arrondissement of Paris
Q191066	15th arrondissement of Paris	one of the 20 administrative districts of Paris, France	15th arrondissement of Paris
Q194420	16th arrondissement of Paris	one of the 20 administrative districts of Paris, France	16th arrondissement of Paris
Q197297	17th arrondissement of Paris	one of the 20 administrative districts of Paris, France	17th arrondissement of Paris
Q200126	18th arrondissement of Paris	one of the arrondissements of Paris, France	18th arrondissement of Paris
Q4559620	1912–1913 War Museum		1912–1913 War Museum
Q4564908	1941 Historical Aircraft Group Museum		1941 Historical Aircraft Group Museum
Q204622	19th arrondissement of Paris	one of the 20 administrative districts of Paris, France	19th arrondissement of Paris
Q104770	1. FC Köln	German association football club	1. FC Köln
Q161741	1st arrondissement of Paris	one of the 20 arrondissements (administrative districts) of Paris	1st arrondissement of Paris
Q163389	1st Panzer Division	armoured division of the German Army	1st Panzer Division (Bundeswehr)
Q210720	20th arrondissement of Paris	municipal district of Paris, France	20th arrondissement of Paris
Q863044	21 21 DESIGN SIGHT	design museum in Tokyo	21 21 Design Sight
Q214022	21er Haus		21er Haus
Q3242206	21st Century Museum of Contemporary Art		21st Century Museum of Contemporary Art, Kanazawa
Q209549	2nd arrondissement of Paris	municipality of Paris, France	2nd arrondissement of Paris
Q4636276	3D Center of Art and Photography		3D Center of Art and Photography
Q223140	3rd arrondissement of Paris	one of the 20 administrative districts of Paris, France	3rd arrondissement of Paris
Q4637390	40 Commando	battalion sized formation of the British Royal Marines	40 Commando
Q2816923	48th Highlanders of Canada	Canadian Forces Primary Reserve infantry regiment based in Toronto	48th Highlanders of Canada
Q14954758	49 Belgrave Square	a Grade II* listed house in Belgrave Square, Belgravia, London. It was finished in 1851, designed by Thomas Cubitt	49 Belgrave Square
Q230127	4th arrondissement of Paris	one of the 20 administrative districts of Paris, France	4th arrondissement of Paris
Q23817	50 Moganshan Road	contemporary art district in Shanghai, China	50 Moganshan Road
Q82939	538	radio station	Radio538
Q238723	5th arrondissement of Paris	one of the 20 administrative districts of Paris, France	5th arrondissement of Paris
Q245546	6th arrondissement of Paris	one of the 20 administrative districts of Paris, France	6th arrondissement of Paris
Q261274	7000 Oaks		7000 Oaks
Q259463	7th arrondissement of Paris	district of Paris, France	7th arrondissement of Paris
Q4644641	82nd Airborne Division War Memorial Museum		82nd Airborne Division War Memorial Museum
Q270230	8th arrondissement of Paris	administrative district of Paris	8th arrondissement of Paris
Q4646321	99s Museum of Women Pilots		99s Museum of Women Pilots
Q275118	9th arrondissement of Paris	one of the 20 administrative districts of Paris, France	9th arrondissement of Paris
Q2351304	Aalten railway station		Aalten railway station
Q300980	Aalto University	Finnish university	Aalto University
Q64113	Aarberg	municipality in Switzerland	Aarberg
Q4662030	Aaron G. Cloud House	historic house in McLeansboro, Illinois	Aaron G. Cloud House
Q4662271	Aaron Monument	artwork by Brian Maughan	Aaron Monument
Q192928	Abadeh	city in Iran	Abadeh
Q875	Abakan	city in Russia, capital of the Republic of Khakassia	Abakan
Q4650022	ABA Museum of Law		ABA Museum of Law
Q2991444	Abasolo	municipality of Guanajuato, Mexico	Abasolo, Guanajuato
Q387321	Abaúj-Torna County		Abaúj-Torna County
Q102469	Abaza	town in Russia	Abaza (town)
Q479354	Abazinsky District		Abazinsky District
Q2743819	ABBA: The Museum	museum on Djurgården in Stockholm, Sweden	ABBA: The Museum
Q702704	Abbey of Echternach		Abbey of Echternach
Q155699	Abbey of Saint Gall		Abbey of Saint Gall
Q170315	Abbottabad		Abbottabad
Q4664440	Abby Aldrich Rockefeller Folk Art Museum		Abby Aldrich Rockefeller Folk Art Museum
Q4655378	A Beam of Sun to Shake the Sky	artwork by Richard Taylor	A Beam of Sun to Shake the Sky
Q4666750	Abeno Cues Town		Abeno Cues Town
Q236713	Aberdeen	city in South Dakota, United States of America	Aberdeen, South Dakota
Q4666914	Aberdeen Cultural Centre		Aberdeen Cultural Centre
Q319416	Aberdeen, Eastern Cape		Aberdeen, Eastern Cape
Q4667227	Aberystwyth University Ceramics Collection		Aberystwyth University Ceramics Collection
Q4667824	Abingdon County Hall Museum		Abingdon County Hall Museum
Q2821637	Abington Art Center		Abington Art Center
Q15762	Abinsk	town in Russia	Abinsk
Q3603749	Abolição		Abolição
Q4668641	Above and Below	artwork by Maya Linn	Above and Below
Q4668622	Above & Beyond Children's Museum		Above & Beyond Children's Museum
Q13711	Abra	province of the Philippines	Abra (province)
Q16001435	Abraham Lincoln	artwork by Lot Flannery	Abraham Lincoln (Flannery)
