Q1000831	Yegorlykskaya		Yegorlykskaya
Q1001512	Priobye		Priobye
Q1001585	Thinali		Thinali
Q1001752	Novaya Chara		Novaya Chara
Q1001806	Plastun		Plastun (urban-type settlement)
Q1001882	Fyodorovsky District, Republic of Bashkortostan		Fyodorovsky District, Republic of Bashkortostan
Q1001900	Buffalo National Park		Buffalo National Park
Q1002414	Fogaras County		Fogaras County
Q1002571	Nikel		Nikel
Q1002621	Tilichiki		Tilichiki
Q1002706	Kanevskaya		Kanevskaya
Q1002766	Koltsovo, Novosibirsk Oblast		Koltsovo, Novosibirsk Oblast
Q1003309	Kleinfontein		Kleinfontein
Q1003313	Nieu-Bethesda		Nieu-Bethesda
Q1003332	Moorreesburg		Moorreesburg
Q1003338	Keimoes		Keimoes
Q1003348	Molteno, Eastern Cape		Molteno, Eastern Cape
Q1003349	Villiersdorp		Villiersdorp
Q1003352	Underberg		Underberg, KwaZulu-Natal
Q1003376	Steytlerville		Steytlerville
Q1003379	Porterville, Western Cape		Porterville, Western Cape
Q1003382	Kommetjie		Kommetjie
Q1003389	Touws River		Touws River (town)
Q1003498	Franja Partisan Hospital		Franja Partisan Hospital
Q1004697	Bulthaup		Bulthaup
Q1006076	Kushchyovskaya		Kushchyovskaya
Q1009125	General Guido Partido		General Guido Partido
Q1009559	Tagansky Protected Command Point		Tagansky Protected Command Point
Q1010163	Khasan		Khasan (urban-type settlement)
Q1010742	Aliskerovo		Aliskerovo
Q1010748	Altena Castle		Altena Castle
Q1010752	Altenstein Castle		Altenstein Castle (Lower Franconia)
Q1010802	Amlishagen Castle		Amlishagen Castle
Q1010879	Château d'Arques		Château d'Arques
Q1011020	Orania, Northern Cape		Orania, Northern Cape
Q1011057	Blankenburg Castle		Blankenburg Castle
Q1011176	Breitenstein Castle		Breitenstein Castle
Q1011302	Bítov Castle		Bítov Castle
Q1011327	Starominskaya		Starominskaya
Q1011648	Erichsburg		Erichsberg Castle
Q1011689	Falkenstein Castle		Falkenstein Castle (Niederfalkenstein)
Q1011887	Fürstenberg Castle		Fürstenberg Castle (Rheindiebach)
Q1011910	Burgruine Gallenstein		Burgruine Gallenstein
Q1012297	Helfenburk		Helfenburk
Q1012374	Hikone Castle		Hikone Castle
Q1012375	Hochjuvalt Castle		Hochjuvalt Castle
Q1012393	Château de Hohbarr		Château de Hohbarr
Q1012398	Hoheneck Castle		Hoheneck Castle
Q1012413	Hohenfreyberg Castle		Hohenfreyberg Castle
Q1012602	Kaltenburg Castle		Kaltenburg Castle
Q1012679	Little France		Little France (castle)
Q1012872	Lauenstein Castle		Lauenstein Castle (Ith)
Q1012936	Lichtenstein Castle		Lichtenstein Castle (Lower Franconia)
Q1012942	Château de Lichtenberg		Château de Lichtenberg
Q1012958	Liebenzell Castle		Liebenzell Castle
Q1013195	Nagahama Castle		Nagahama Castle
Q1013370	Simon's Town		Simon's Town
Q1013375	Hout Bay		Hout Bay
Q1013413	Paulpietersburg		Paulpietersburg
Q1013445	Okazaki Castle		Okazaki Castle
Q1013448	Okayama Castle		Okayama Castle
Q1013644	Reifenstein Castle		Reifenstein Castle
Q1013829	Schachenstein Castle		Schachenstein Castle
Q1013854	Burg Scharfenstein		Scharfenstein Castle (Kiedrich)
Q1013942	Burg Schwarzenfels		Schwarzenfels Castle
Q1013993	Château de Sedan		Château de Sedan
Q1014079	Steckelberg Castle		Steckelberg Castle
Q1014121	Steinsberg Castle		Steinsberg Castle
Q1014296	Provideniya		Provideniya
Q1014350	Ushakovo, Kaliningrad Oblast		Ushakovo, Novomoskovsky Rural Okrug, Guryevsky District, Kaliningrad Oblast
Q1014431	Vordingborg Castle		Vordingborg Castle
Q1014747	Český Šternberk Castle		Český Šternberk Castle
Q1015208	Burgrest Sirgenstein		Sirgenstein Castle
Q1015289	Burgruine Finkenstein		Burgruine Finkenstein
Q1015314	Ärna Airbase		Ärna
Q1015393	Burgruine Leonstein		Burgruine Leonstein
Q1015404	Burgruine Liebenfels		Burgruine Liebenfels
